title,pageid,length,
Algorithm,775,100866,
Ada_(programming_language),1242,50196,
APL_(programming_language),1451,85446,
BASIC,4015,39524,
Brian_Kernighan,4051,12711,
Bill_Schelter,4178,2983,
Computer_programming,5311,22988,
Compiler,5739,58205,
Computer_program,5783,28460,
Cygwin,6840,19865,
Computer_multitasking,6857,17322,
Class_(computer_programming),7392,48847,
Data_structure,8519,11921,
Design_pattern,8745,6620,
Erlang_(programming_language),9646,34153,
Functional_programming,10933,68795,
List_of_programmers,11026,36705,
Fortran,11168,82551,
Foobar,11178,7306,
Hacker,13533,26053,
\Hello,"_World!\""_program""",,2.01802E+13
International_Olympiad_in_Informatics,14777,24467,
Java_(programming_language),15881,67874,
Just_another_Perl_hacker,16485,8781,
Knowledge_representation_and_reasoning,16920,33280,
FX-87,17139,1483,
KISS_principle,17176,6644,
Knights_of_the_Lambda_Calculus,17209,2416,
KOMPILER,17212,731,
Logic_programming,17927,35689,
Lisp_(programming_language),18016,71758,
Linker_(computing),18566,11318,
List_of_algorithms,18568,66902,
Mercury_(programming_language),19726,10345,
Multitier_architecture,20003,12600,
Macro_(computer_science),20560,19886,
Obfuscation_(software),22739,19792,
Programming_language,23015,77764,
Programmer,23716,18809,
Pascal_(programming_language),23773,62742,
Procedural_programming,23801,9554,
Python_(programming_language),23862,95563,
PHP,24131,93618,
Pseudocode,24185,12003,
Quine_(computing),25270,23077,
Regular_expression,25717,80047,
Code_refactoring,25871,17532,
Relational_model,26220,37155,
Rebol,26384,22323,
Source_code,27661,16783,
Structured_programming,27695,28714,
Smalltalk,28319,58145,
Spaghetti_code,28732,16576,
Syntactic_sugar,29054,13481,
Second-system_effect,29313,1873,
SNOBOL,29515,18844,
Side_effect_(computer_science),29519,7176,
The_Art_of_Computer_Programming,31358,24851,
Event_cascade,37084,454,
Supercomputer,37153,70987,
Squeak,37426,11490,
"Lions'_Commentary_on_UNIX_6th_Edition,_with_Source_Code",38279,9082,
Visitor_pattern,38689,36376,
Design_by_contract,39289,17263,
Precondition,39290,3642,
Postcondition,39291,3708,
Software_performance_testing,39294,21566,
Design_Patterns,40394,29276,
Abstract_factory_pattern,41836,20923,
John_Ousterhout,42072,6343,
Ninety-ninety_rule,42877,2213,
John_Gilmore_(activist),43308,7585,
Hungarian_notation,44229,23970,
Process_(computing),45178,13440,
Thread_(computing),45303,34972,
Lua_(programming_language),46150,36635,
Identity_map_pattern,46955,1228,
CDR_coding,47766,2747,
Core_dump,49721,12469,
Reserved_word,49723,24801,
Debugger,50485,10015,
Disassembler,54390,6644,
Makefile,55976,5667,
DLL_Hell,59441,24279,
Not_invented_here,60102,2586,
Self_(programming_language),60265,22142,
Abstraction_(software_engineering),60491,29768,
PureBasic,60643,13549,
Prototype-based_programming,61003,18441,
Event-driven_programming,62599,9581,
Defensive_programming,62661,12536,
Locality_of_reference,64028,15185,
Adapter_pattern,65020,21578,
Facade_pattern,65028,14370,
Bridge_pattern,65033,15897,
Singleton_pattern,65041,7878,
Justin_Frankel,68233,8932,
Iteration,68833,5715,
Jackson_structured_programming,70973,14319,
Sieve_of_Eratosthenes,73415,34745,
Feature_creep,73528,11668,
Ousterhout's_dichotomy,81250,5901,
Dead_code,84473,4660,
Cargo_cult_programming,84478,5073,
AppleScript,88392,56483,
Lazy_initialization,93427,22679,
Algorithmics,99861,600,
Index_of_computing_articles,99965,17488,
Shotgun_debugging,101415,1973,
Library_(computing),106421,33586,
Flyweight_pattern,140538,22273,
Memento_pattern,140542,10895,
Basic_object_system,140636,1103,
Jerry_Yang,142552,22098,
Matthias_Ettrich,143418,3795,
List_of_programming_languages,144146,26341,
Algorithmic_efficiency,145128,22381,
Brad_Fitzpatrick,145189,2845,
Aspect-oriented_programming,145329,41937,
XOR_swap_algorithm,145555,13942,
Andrey_Ershov,146952,4499,
Free_variables_and_bound_variables,147460,13747,
Delegation_pattern,148655,3613,
FASM,160260,7134,
Builder_pattern,164849,20679,
Factory_method_pattern,164850,15920,
Prototype_pattern,164851,12461,
Composite_pattern,164853,17591,
Decorator_pattern,164854,27140,
Proxy_pattern,164856,16267,
Command_pattern,164858,30310,
Iterator_pattern,164859,13391,
Interpreter_pattern,164860,12146,
Mediator_pattern,164862,13877,
Observer_pattern,164863,11785,
State_pattern,164864,9053,
Strategy_pattern,164865,16009,
Template_method_pattern,164866,10128,
Balking_pattern,164870,3014,
Guarded_suspension,164871,3225,
Double-checked_locking,164874,16274,
Software_design_pattern,164952,42220,
Software_development_kit,166087,5087,
Indirection,166206,4049,
Open_Database_Connectivity,168701,31637,
Gauche_(Scheme_implementation),169126,3851,
Instance_variable,169629,3510,
Jarkko_Oikarinen,170573,4625,
BASIC_Programming,174486,3474,
Moral_hazard,175590,30913,
Cache_coherence,176865,13917,
List_of_data_structures,177318,6421,
Software_developer,179683,6450,
Programming_paradigm,189897,17921,
Constraint_programming,189899,16214,
Self-hosting,192092,7005,
Run_time_(program_lifecycle_phase),192263,2785,
Law_of_the_instrument,193583,13750,
Imperative_programming,197847,10847,
Programming_style,197883,13967,
Yo-yo_problem,197986,2461,
String_literal,199706,42371,
Maze_generation_algorithm,200877,19605,
Divide_and_conquer_algorithm,201154,18029,
Declarative_programming,210648,9594,
Emergent_algorithm,214269,1752,
Porting,214804,14786,
Gambas,215824,18546,
Self-modifying_code,217647,26516,
In-place_algorithm,219861,8383,
Index_of_Internet-related_articles,220684,12549,
Worse_is_better,223321,7014,
Program_optimization,225779,31137,
Guido_van_Rossum,226402,15320,
Comparison_of_multi-paradigm_programming_languages,226843,32331,
Window_class,229286,1546,
Robert_Tappan_Morris,230339,13785,
Scheduling_(computing),231920,41154,
Computer_code,232500,1262,
Law_of_Demeter,232883,12317,
Anti-pattern,233956,17751,
Accidental_complexity,233959,99,
Aggregate_pattern,234004,2392,
Assertion_(software_development),234018,19061,
Boat_anchor_(metaphor),234021,4921,
Code_smell,234034,9340,
Copy_and_paste_programming,234071,12286,
Separation_of_concerns,234273,15511,
AspectJ,237214,12161,
End-to-end_principle,238042,26736,
Rapid_application_development,239993,15368,
Coroutine,243800,35687,
D_(programming_language),243881,38778,
Serial_algorithm,244440,58,
Lock_(computer_science),244593,23293,
Spinlock,244603,10008,
Clipper_(programming_language),246367,9922,
Communicating_sequential_processes,247370,37163,
Application_framework,251413,3049,
Syntax_error,264540,3412,
Syntax_highlighting,265079,11559,
Core_War,274362,18373,
Visual_Component_Library,274874,10542,
Component_Library_for_Cross_Platform,274878,1741,
Polyglot_(computing),275174,5458,
List_comprehension,275744,19865,
Symbolics_Document_Examiner,286931,3001,
Model–view–controller,288233,11658,
In-circuit_emulation,291590,8411,
Command–query_separation,291789,5594,
Indentation_style,294545,38285,
Obfuscated_Perl_Contest,298372,2104,
Upstream_(software_development),298558,1500,
Liskov_substitution_principle,300568,9949,
John_Walker_(programmer),305576,5135,
Boilerplate_text,307584,3591,
Stovepipe_system,310665,1928,
Video_game_programmer,311632,29186,
Stack_(Haskell),313158,3083,
Long_division,313384,22358,
Reflection_(computer_programming),314905,12661,
David_Filo,315077,5824,
Strict_programming_language,319289,4250,
Index_notation,320026,9751,
Io_(programming_language),323340,7109,
Khaled_Mardam-Bey,329861,259,
Prettyprint,334552,10896,
Source-code_compatibility,335164,1527,
Software_bloat,335766,17183,
Object_file,337307,5104,
Reusability,346547,3629,
Association_(object-oriented_programming),346624,2026,
SuperCollider,346978,13860,
Visual_Basic_Extension,348615,1984,
Third-party_software_component,349218,1243,
Magic_number_(programming),352996,38858,
Lookup_table,356457,19498,
RobotWar,364017,5325,
System_programming,365264,5655,
Dope_vector,366016,6638,
Small_matter_of_programming,366872,3414,
Programming_tool,370882,8435,
Pico_(programming_language),379013,3518,
The_C_Programming_Language,379671,9641,
Block_(programming),381944,10668,
ISO/IEC_11404,385284,1223,
Tomasulo_algorithm,390562,13612,
Metaprogramming,393460,13600,
Omega_(video_game),402330,3980,
Interface_bloat,402849,868,
Copy-on-write,407603,10543,
Rebasing,411418,3842,
Timeline_of_algorithms,416776,14130,
Algorism,417534,5257,
JCSP,420461,6947,
ARS-based_programming,427396,1819,
Inline_function,428330,22936,
Memory_debugger,428407,6976,
Hexspeak,430638,18518,
Lou_Montulli,432114,4064,
