title,pageid,length
Software,5309,27646
Computer_program,5783,28460
History_of_Microsoft_Windows,13694,66547
LEO_(computer),18555,15550
Plan_9_from_Bell_Labs,24226,48518
Punched_card,24420,50242
Software_engineering,27010,35845
Software_crisis,27012,3722
TECO_(text_editor),30449,19618
Troff,30811,11177
Turnkey,41827,5854
Mosaic_(web_browser),43303,26685
List_of_free_and_open-source_software_packages,43314,29833
Shovelware,46618,5913
Package_manager,47017,21090
History_of_operating_systems,55395,33743
List_of_operating_systems,71916,57545
Feature_creep,73528,11668
Software_engineer,90471,28669
VESA_Display_Power_Management_Signaling,138888,2125
Specification_language,140586,4242
Project_Xanadu,148257,13353
Michigan_Terminal_System,148432,70163
MacOS_version_history,162549,40523
Software_design_pattern,164952,42220
Software_configuration_management,165180,8018
TYPSET_and_RUNOFF,172796,3477
Traceability,174247,18001
Scream_Tracker,185829,4276
Software_metric,187442,7229
IBM_WebSphere,195870,3668
Software_house,212862,12248
List_of_emulators,231877,6009
Product_bundling,234163,17361
AspectJ,237214,12161
Easter_egg_(media),239803,38425
System_context_diagram,243791,7448
Software_development,248932,30295
MLCAD,306412,1842
CODASYL,309351,7990
Independent_Computing_Architecture,309961,3151
Sun_ONE,310978,1534
CP-67,315718,823
CP/CMS,315784,19064
List_of_content_management_systems,333676,43658
Reusability,346547,3629
Xcode,356878,58205
Outline_of_software_engineering,357616,29029
WeirdX,414560,594
History_of_software_configuration_management,420133,3940
Software_suite,442656,1090
Project_Athena,447288,16069
List_of_Macintosh_software,459552,23767
PiHex,461277,4100
Stale_pointer_bug,481309,1467
List_of_wiki_software,487926,11962
SMART_Information_Retrieval_System,509628,3630
List_of_GTK+_applications,523568,8775
Software_law,529931,655
Software_engineering_demographics,535034,9000
Software_copyright,547404,19471
Systems_development_life_cycle,573528,34667
Native_(computing),581638,2108
List_of_KDE_applications,601193,16675
X/Open,604382,5286
List_of_Linux_distributions,620709,59818
Round-trip_engineering,637240,6710
Ratfiv,642890,1611
Code_on_demand,661724,2092
Method_stub,674329,4147
Commercial_software,695391,11948
Criticism_of_Microsoft,709683,55446
Open_Source_Software_CD,742268,1054
Zero_Install,743009,4117
History_of_software_engineering,758895,21630
List_of_GNU_packages,774936,20373
Active_object_(Symbian_OS),784730,2206
Lavarand,785038,2426
Philippe_Kruchten,798663,4421
Sorune,859670,799
Anti-circumvention,900808,18672
Software_publisher,909542,2170
Management_agent,917765,589
IBM_Service_Management_Framework,954175,1077
Binary_delta_compression,959229,1611
Task_manager,997521,2853
Pspell,1003173,1506
Type-in_program,1025765,16483
List_of_PHP_editors,1080325,15676
Independent_software_vendor,1090523,2170
Software_prototyping,1090852,40779
Mailx,1107743,2785
Association_Control_Service_Element,1117728,411
MX4J,1118053,1867
List_of_web_browsers,1122106,23009
Freely_redistributable_software,1158132,2917
Expensive_Typewriter,1180765,1165
Physalis_(software),1191387,772
Retail_software,1192270,4091
List_of_interactive_geometry_software,1196020,35517
List_of_Linux_audio_software,1208979,11111
ObjectDock,1218482,2266
Boss_key,1223033,5013
Run-time_infrastructure_(simulation),1252043,5531
PolyORB,1252060,1308
Web_engineering,1252448,10969
MiniGL,1261024,3523
WinPlus,1285693,2999
Java_Telephony_API,1315500,556
Downgrade,1318299,1496
Comparison_of_Internet_forum_software,1423563,32665
Novell_S-Net,1471470,1934
List_of_Unified_Modeling_Language_tools,1496061,19126
Comparison_of_email_clients,1496467,122741
Comparison_of_file_archivers,1504233,62760
Comparison_of_command_shells,1515407,81256
List_of_text_editors,1524768,19971
Comparison_of_documentation_generators,1531987,34958
SpyBouncer,1544654,1082
Vertical_market_software,1562591,1178
Features_of_Firefox,1564592,32887
Comparison_of_platform_virtualization_software,1582833,82338
List_of_Usenet_newsreaders,1593142,4358
Pontis,1595474,3227
OpenFX_(software),1605772,2756
Reality_Lab,1626143,1988
Low_Bandwidth_X,1628295,3166
List_of_BBS_software,1632445,6515
List_of_personal_information_managers,1638697,9850
Grafedia,1649912,1900
Intellext_Watson,1652442,1459
List_of_video_editing_software,1655001,4217
FreeS/WAN,1658979,2212
Meta-process_modeling,1674557,33286
Software_deployment,1688759,12098
List_of_application_servers,1699556,11427
Uniform_Driver_Interface,1708780,2458
List_of_BeOS_programs,1717652,3809
PLWM,1729832,868
List_of_layout_engines,1762769,3775
Covermount,1764998,10165
List_of_ECMAScript_engines,1770735,7968
List_of_HTML_editors,1775811,4154
List_of_word_processors,1776033,5938
List_of_collaborative_software,1779657,59053
List_of_version_control_software,1787558,9038
List_of_Unix_daemons,1800613,4417
Inner_loop,1819659,670
IBM_History_Flow_tool,1875455,1851
Software_industry,1875574,7503
List_of_geographic_information_systems_software,1877442,17582
Exit_(command),1883536,1453
Comparison_of_file_managers,1884440,64466
Apache_HiveMind,1885573,2551
History_of_Mozilla_Thunderbird,1890227,114470
Feature-driven_development,1903153,10884
Welchia,1932938,2522
List_of_Mozilla_products,1933920,5187
List_of_reporting_software,1950623,1652
List_of_backup_software,1970162,14447
Comparison_of_open-source_and_closed-source_software,2009636,20805
List_of_Microsoft_software,2043026,8755
SoftwareValet,2056696,1335
List_of_optical_disc_authoring_software,2062303,2271
Metadata_facility_for_Java,2100179,1185
Tao_Framework,2121996,2289
Dual_format,2137246,3088
Mobile_phone_features,2155746,27763
Narcissus_(JavaScript_engine),2193672,1214
Comparison_of_office_suites,2234471,32096
Software_as_a_service,2262333,33608
Comparison_of_project_management_software,2265048,48156
Mod_mono,2282072,1714
Comparison_of_time-tracking_software,2399838,17681
PowerSchool,2405083,7107
Comparison_of_accounting_software,2405553,33373
Comparison_of_Unicode_encodings,2433279,17478
TNTlite,2468652,1446
MultiNet,2473220,2961
Nomad_software,2491250,17970
Usb8x,2492689,1457
Microsoft_Student,2501480,3254
Random_seed,2503259,1683
Overhead_(computing),2554671,4626
List_of_software_development_philosophies,2574632,2325
Comparison_of_MUD_clients,2575459,12710
Project_DReaM,2607325,6275
Codeville,2614381,1148
History_of_the_Actor_model,2627964,23195
Ophcrack,2645193,4706
List_of_numerical_analysis_software,2645647,16435
Oblix,2663987,812
Recordset,2666135,851
SDSF,2681606,3432
Sim4,2688736,590
Index_of_software_engineering_articles,2702229,7545
System_requirements_specification,2705889,2072
NanoVM,2755637,2251
AppImage,2760924,12342
Reference_Manager,2769349,3649
List_of_Apache–MySQL–PHP_packages,2780665,2264
Portable_Batch_System,2783003,3248
Software_build,2788153,3856
TriBBS,2799056,1800
Oasis_(software),2800727,1582
Federation_Against_Software_Theft,2804877,3525
CineSync,2828351,2286
Stalin_(Scheme_implementation),2828643,2560
List_of_PDF_software,2830423,31605
MC4J,2836241,1637
Type_generalization,2874679,1422
